AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Chen, Haitao; Huang, Xuefei; Huang, Weigang	CHINESE JOURNAL OF PHYSICS	Silicate phosphor; Europium; Light emitting diodes (LEDs); density functional theory	[Chen, Haitao; Huang, Xuefei; Huang, Weigang] Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610064, Peoples R China; [Chen, Haitao] Chengdu Normal Univ, Coll Phys & Engn, Chengdu 611130, Peoples R China	Chen, HT (reprint author), Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610064, Peoples R China.; Chen, HT (reprint author), Chengdu Normal Univ, Coll Phys & Engn, Chengdu 611130, Peoples R China.	National Natural Science Foundation of China [51401135]; Chengdu Normal University Fund [YJRC2015-1]	0	0577-9073	2016	WOS:000390909200010
Chen, Haitao; Gao, Zenghui	OPTICS COMMUNICATIONS	Singular optics; Lissajous singularity; Non-paraxial beams	[Chen, Haitao] Chengdu Normal Univ, Coll Phys & Engn, Chengdu 611130, Peoples R China; [Chen, Haitao; Gao, Zenghui] Yibin Univ, Key Lab Computat Phys, Yibin 644000, Sichuan, Peoples R China	Chen, HT (reprint author), Yibin Univ, Key Lab Computat Phys, Yibin 644000, Sichuan, Peoples R China.	National Natural Science Foundation of China [61275203]; Natural Science Foundation of Sichuan Province [2013JY0100]; Science Foundation of Chengdu Normal University [YJRC2015-1]	1	0030-4018	2016	WOS:000382793800054
Dong, Hui-Ning; Liu, Xu-Sheng; Zhou, Hong-Fei	INTERNATIONAL JOURNAL OF MODERN PHYSICS B	Electron paramagnetic resonance; defect structures; hexacyanometallates; K3Cr(CN)(6); K4V(CN)(6)center dot 3H(2)O	[Dong, Hui-Ning; Liu, Xu-Sheng] Chengdu Normal Univ, Coll Phys & Engn, Chengdu 611130, Peoples R China; [Liu, Xu-Sheng; Zhou, Hong-Fei] Chongqing Univ Posts & Telecommun, Coll Sci, Chongqing 400065, Peoples R China	Liu, XS (reprint author), Chengdu Normal Univ, Coll Phys & Engn, Chengdu 611130, Peoples R China.; Liu, XS (reprint author), Chongqing Univ Posts & Telecommun, Coll Sci, Chongqing 400065, Peoples R China.	Science Project of Chengdu Normal University [RCYJ2016-2]	0	0217-9792	2016	WOS:000386569600006
Zhang, Tao; Liao, Mengya; Tian, Ye; Wang, Fangying; Ye, TingHong; Zhang, Yiwen; Zhang, Xiaoling; Chen, Yuanwei	JOURNAL OF CHROMATOGRAPHIC SCIENCE		[Zhang, Tao; Tian, Ye; Wang, Fangying; Ye, TingHong; Zhang, Yiwen; Chen, Yuanwei] Sichuan Univ, West China Hosp, State Key Lab Biotherapy, Chengdu 610041, Peoples R China; [Zhang, Tao; Tian, Ye; Wang, Fangying; Ye, TingHong; Zhang, Yiwen; Chen, Yuanwei] Sichuan Univ, West China Hosp, Ctr Canc, Chengdu 610041, Peoples R China; [Zhang, Tao; Tian, Ye; Wang, Fangying; Ye, TingHong; Zhang, Yiwen; Chen, Yuanwei] Collaborat Innovat Ctr Biotherapy, Chengdu 610041, Peoples R China; [Liao, Mengya] Sichuan Acad Med Sci, Chengdu 610072, Peoples R China; [Liao, Mengya] Sichuan Prov Peoples Hosp, Chengdu 610072, Peoples R China; [Zhang, Xiaoling] Chengdu Normal Univ, Coll Chem & Life Sci, Chengdu 611130, Peoples R China	Zhang, YW (reprint author), Sichuan Univ, West China Hosp, State Key Lab Biotherapy, Chengdu 610041, Peoples R China.; Zhang, YW (reprint author), Sichuan Univ, West China Hosp, Ctr Canc, Chengdu 610041, Peoples R China.; Zhang, YW (reprint author), Collaborat Innovat Ctr Biotherapy, Chengdu 610041, Peoples R China.	Youth Foundation of Sichuan University [2015SCU11042]; Support Program of Science & Technology Department of Sichuan Provincial [2012FZ0129]	0	0021-9665	2016	WOS:000389139300005
Peng, Yi; Luo, Juan; Feng, Qiang; Tang, Qiang	EUROPEAN JOURNAL OF ORGANIC CHEMISTRY	Synthetic methods; Cyclization; Aldol reactions; Chemoselectivity; Oxygen heterocycles; Nitrogen heterocycles	[Peng, Yi; Luo, Juan; Tang, Qiang] Chongqing Med Univ, Chongqing Res Ctr Pharmaceut Engn, Chongqing Key Lab Biochem & Mol Pharmacol, Coll Pharm,Fac Lab Med, 1 Yixueyuan Rd, Chongqing 400016, Peoples R China; [Feng, Qiang] Chengdu Normal Univ, Coll Chem & Life Sci, 99 Haike Rd Eastern Sect, Chengdu 611130, Sichuan Provinc, Peoples R China	Tang, Q (reprint author), Chongqing Med Univ, Chongqing Res Ctr Pharmaceut Engn, Chongqing Key Lab Biochem & Mol Pharmacol, Coll Pharm,Fac Lab Med, 1 Yixueyuan Rd, Chongqing 400016, Peoples R China.	Fundamental and Advanced Research Projects of Chongqing City [cstc2014jcyjA10022]; Starting Foundation for Talents Returning from Overseas of Ministry of Education; Starting Foundation of College of Pharmacy, Chongqing Medical University	0	1434-193X	2016	WOS:000386919600012
Feng, Qiang; Zhang, Qi; Han, Tao; Sun, Kang; Zhang, Xiao Ling; Xia, Ping Fang; Li, Zhong Hui	SYNTHETIC METALS	Oligofluorene; 9, 9-diphenyl derivatives; 9, 9-diphenyl derivatives; Synthesis; Two photon absorption	[Feng, Qiang; Zhang, Qi; Han, Tao; Zhang, Xiao Ling; Xia, Ping Fang] Chengdu Normal Univ, Coll Chem & Life Sci, 99 Haike Rd Eastern Sect, Chengdu 611130, Sichuan, Peoples R China; [Feng, Qiang; Zhang, Qi; Han, Tao; Sun, Kang; Zhang, Xiao Ling; Xia, Ping Fang; Li, Zhong Hui] Chengdu Normal Univ, Inst Funct Mol, 99 Haike Rd Eastern Sect, Chengdu 611130, Sichuan, Peoples R China	Li, ZH (reprint author), Chengdu Normal Univ, Inst Funct Mol, 99 Haike Rd Eastern Sect, Chengdu 611130, Sichuan, Peoples R China.	Scientific & Technological Support Project of Sichuan Province [2009GZ0167, 2013FZ0129]	1	0379-6779	2016	WOS:000383811300008
Pan, Yuanyuan; Wang, Fang; Sun, Da-Wen; Li, Quanyang	JOURNAL OF MICROBIOLOGY	elderly; intestinal Lactobacillus community; structure diet; nested PCR-DGGE	[Pan, Yuanyuan; Sun, Da-Wen] South China Univ Technol, Sch Food Sci & Engn, Guangzhou 510641, Guangdong, Peoples R China; [Pan, Yuanyuan; Sun, Da-Wen] South China Univ Technol, Guangzhou Higher Educ Mega Ctr, Acad Contemporary Food Engn, Guangzhou 510006, Guangdong, Peoples R China; [Sun, Da-Wen] Natl Univ Ireland Univ Coll Dublin, Agr & Food Sci Ctr, FRCFT, Dublin 4, Ireland; [Li, Quanyang] Guangxi Univ, Coll Light Ind & Food Engn, Nanning 530004, Peoples R China; [Wang, Fang] Chengdu Normal Univ, Sch Chem & Life Sci, Chengdu 611130, Peoples R China	Sun, DW (reprint author), South China Univ Technol, Sch Food Sci & Engn, Guangzhou 510641, Guangdong, Peoples R China.; Sun, DW (reprint author), South China Univ Technol, Guangzhou Higher Educ Mega Ctr, Acad Contemporary Food Engn, Guangzhou 510006, Guangdong, Peoples R China.; Sun, DW (reprint author), Natl Univ Ireland Univ Coll Dublin, Agr & Food Sci Ctr, FRCFT, Dublin 4, Ireland.; Li, QY (reprint author), Guangxi Univ, Coll Light Ind & Food Engn, Nanning 530004, Peoples R China.	Natural Science Foundation of China [31371762]; Guangdong Province Government (China)	0	1225-8873	2016	WOS:000382411700003
Yang, Yuhan; He, Lili; Liu, Yongmei; Xia, Shan; Fang, Aiping; Xie, Yafei; Gan, Li; He, Zhiyao; Tan, Xiaoyue; Jiang, Chunling; Tong, Aiping; Song, Xiangrong	SCIENTIFIC REPORTS		[Yang, Yuhan; He, Lili; Liu, Yongmei; Fang, Aiping; Xie, Yafei; Gan, Li; He, Zhiyao; Jiang, Chunling; Tong, Aiping; Song, Xiangrong] Sichuan Univ, State Key Lab Biotherapy, Chengdu 610041, Peoples R China; [Yang, Yuhan; He, Lili; Liu, Yongmei; Fang, Aiping; Xie, Yafei; Gan, Li; He, Zhiyao; Jiang, Chunling; Tong, Aiping; Song, Xiangrong] Sichuan Univ, Ctr Canc, West China Hosp, Chengdu 610041, Peoples R China; [Yang, Yuhan; He, Lili; Liu, Yongmei; Fang, Aiping; Xie, Yafei; Gan, Li; He, Zhiyao; Jiang, Chunling; Tong, Aiping; Song, Xiangrong] Sichuan Univ, Collaborat Innovat Ctr Biotherapy, Chengdu 610041, Peoples R China; [He, Lili] Southwest Univ Nationalities, Coll Pharm, Chengdu 610041, Peoples R China; [Xia, Shan] Chengdu Normal Univ, Chem & Life Sci Coll, Chengdu 611130, Peoples R China; [Tan, Xiaoyue] Nankai Univ, Sch Med, Collaborat Innovat Ctr Biotherapy, Dept Pathol, Tianjin 300071, Peoples R China	Jiang, CL; Tong, AP; Song, XR (reprint author), Sichuan Univ, State Key Lab Biotherapy, Chengdu 610041, Peoples R China.; Jiang, CL; Tong, AP; Song, XR (reprint author), Sichuan Univ, Ctr Canc, West China Hosp, Chengdu 610041, Peoples R China.; Jiang, CL; Tong, AP; Song, XR (reprint author), Sichuan Univ, Collaborat Innovat Ctr Biotherapy, Chengdu 610041, Peoples R China.	National Natural Science Foundation of China [81302729]; Postdoctoral Science Foundation of China [2014M562330]	0	2045-2322	2016	WOS:000382243500002
Ma, Xixiao; Lan, Yu; Qin, Ling; Kuang, Lulin; Feng, Shiping	JOURNAL OF PHYSICS-CONDENSED MATTER	electron Fermi surface; Mott insulator; t-J model; Fermi-arc; cobaltate; strong electron correlation	[Ma, Xixiao; Feng, Shiping] Beijing Normal Univ, Dept Phys, Beijing 100875, Peoples R China; [Lan, Yu] Hengyang Normal Univ, Coll Phys & Elect Engn, Hengyang 421002, Peoples R China; [Qin, Ling] Chengdu Normal Univ, Coll Phys & Engn, Chengdu 611130, Peoples R China; [Kuang, Lulin] Sugon Natl Res Ctr High Performance Comp Engn Tec, Beijing 100093, Peoples R China	Feng, SP (reprint author), Beijing Normal Univ, Dept Phys, Beijing 100875, Peoples R China.	Ministry of Science and Technology of China [2012CB821403]; National Natural Science Foundation of China (NSFC) [11274044, 11574032]; Science Foundation of Hengyang Normal University [13B44]; Hunan Provincial Natural Science Foundation of China [2015JJ3027]	1	0953-8984	2016	WOS:000379385100004
Xie, Lechun; Feng, Qiang; Wen, Yan; Wang, Liqiang; Jiang, Chuanhai; Lu, Weijie	JOURNAL OF MATERIALS RESEARCH	microstructure; x-ray diffraction (XRD); Ti	[Xie, Lechun; Wang, Liqiang; Jiang, Chuanhai; Lu, Weijie] Shanghai Jiao Tong Univ, Sch Mat Sci & Engn, State Key Lab Met Matrix Composites, Shanghai 200240, Peoples R China; [Feng, Qiang] Chengdu Normal Univ, Coll Phys & Engn, Chengdu 611130, Sichuan, Peoples R China; [Wen, Yan] Nanjing Univ Informat Sci & Technol, Sch Phys & Optoelect Engn, Nanjing 210044, Jiangsu, Peoples R China	Xie, LC; Wang, LQ (reprint author), Shanghai Jiao Tong Univ, Sch Mat Sci & Engn, State Key Lab Met Matrix Composites, Shanghai 200240, Peoples R China.	National Natural Science Foundation of China [51302168, 51502142, 51405356]; 973 Program [2014CB046701]; Research Foundation of Educational Commission of Sichuan Province of China [16ZA0367]; Jiangxi Foreign Cooperation Program [20144BDH80004]; Hujiang Foundation of China [B14006]; General Program of Natural Science Foundation of the Jiangsu Higher Education Institutions of China [15KJB430021]; Startup Foundation for Introducing Talent of NUIST [2014r036]; Research Fund for the Doctoral Program of Higher Education of China [20130143120015]	1	0884-2914	2016	WOS:000382887000012
Ye, Tinghong; Zhu, Shirui; Zhu, Yongxia; Feng, Qiang; He, Bing; Xiong, Yiong; Zhao, Lifeng; Zhang, Yiwen; Yu, Luoting; Yang, Li	BIOMEDICINE & PHARMACOTHERAPY	Melanoma; Cryptotanshinone; Cell cycle; Apoptosis; Migration and invasion	[Ye, Tinghong; Zhu, Yongxia; Feng, Qiang; He, Bing; Xiong, Yiong; Zhao, Lifeng; Zhang, Yiwen; Yu, Luoting; Yang, Li] Sichuan Univ, State Key Lab Biotherapy, Collaborat Innovat Ctr Biotherapy, Dept Gastroenterol,West China Hosp,West China Med, Chengdu, Peoples R China; [Zhu, Shirui] Henan Univ Tradit Chinese Med, Affiliated Hosp 1, Dept Encephalopathy, Zhengzhou, Peoples R China; [Feng, Qiang; He, Bing] Chengdu Normal Univ, Coll Chem & Life Sci, Chengdu, Peoples R China	Zhao, LF; Zhang, YW (reprint author), Sichuan Univ, State Key Lab Biotherapy, Collaborat Innovat Ctr Biotherapy, West China Hosp,West China Med Sch, 17 3rd Sect,Ren Min South Rd, Chengdu 610041, Peoples R China.	National Natural Science Foundation of China [81500054]; China Postdoctoral Science Foundation [2015M582553]; Undergraduate Innovation Project of Sichuan University [201510610647]	1	0753-3322	2016	WOS:000381679000039
Xia, Shan; Fan, Zhenxin; Zhang, Xiuyue; Jie, Chen; Zhang, Xiaojuan; Yue, Bisong	BIOCHEMICAL SYSTEMATICS AND ECOLOGY	Forest musk deer; MHC; DRB; Allelic polymorphism	[Xia, Shan; Fan, Zhenxin; Zhang, Xiuyue] Sichuan Univ, Coll Life Sci, Key Lab Bioresources & Ecoenvironm, Minist Educ, Chengdu 610064, Peoples R China; [Xia, Shan; Jie, Chen; Zhang, Xiaojuan] Chengdu Normal Univ, Coll Chem & Life Sci, Chengdu, Sichuan, Peoples R China; [Yue, Bisong] Sichuan Univ, Coll Life Sci, Sichuan Key Lab Conservat Biol Endangered Wildlif, Chengdu, Sichuan, Peoples R China	Yue, BS (reprint author), Sichuan Univ, Coll Life Sci, Sichuan Key Lab Conservat Biol Endangered Wildlif, Chengdu, Sichuan, Peoples R China.	National Basic Research Program of China (973 Project) [2012CB722207]; National Forestry Bureau of China [2130211]	0	0305-1978	2016	WOS:000379886100006
Tan, Qi-Jian; Su, Juan; Pan, Chao-Yi	BOUNDARY VALUE PROBLEMS	parabolic systems; cross-diffusion; discontinuous coefficients; approximation method	[Tan, Qi-Jian; Su, Juan; Pan, Chao-Yi] Chengdu Normal Univ, Coll Math, Chengdu 611130, Peoples R China	Tan, QJ (reprint author), Chengdu Normal Univ, Coll Math, Chengdu 611130, Peoples R China.	Department of Education of Sichuan Province [15ZB0343]; Chengdu Normal University [CS14ZD01]	0	1687-2770	2016	WOS:000385304600001
Song, Xuejiao; Zhang, Lidan; Gao, Tiantao; Ye, Tinghong; Zhu, Yongxia; Lei, Qian; Feng, Qiang; He, Bing; Deng, Hongxia; Yu, Luoting	BIOMEDICINE & PHARMACOTHERAPY	EZH2; Small molecule; Lymphoma; Anti-tumor	[Song, Xuejiao; Zhang, Lidan; Gao, Tiantao; Ye, Tinghong; Zhu, Yongxia; Lei, Qian; Deng, Hongxia; Yu, Luoting] Sichuan Univ, West China Hosp, West China Med Sch, State Key Lab Biotherapy, 17 3rd Sect,Ren Min South Rd, Chengdu 610041, Peoples R China; [Song, Xuejiao; Zhang, Lidan; Gao, Tiantao; Ye, Tinghong; Zhu, Yongxia; Lei, Qian; Deng, Hongxia; Yu, Luoting] Sichuan Univ, West China Hosp, West China Med Sch, Ctr Canc, 17 3rd Sect,Ren Min South Rd, Chengdu 610041, Peoples R China; [Feng, Qiang; He, Bing] Chengdu Normal Univ, Coll Chem & Life Sci, Chengdu 611130, Peoples R China	Zhang, LD; Yu, LT (reprint author), Sichuan Univ, West China Hosp, West China Med Sch, State Key Lab Biotherapy, 17 3rd Sect,Ren Min South Rd, Chengdu 610041, Peoples R China.; Zhang, LD; Yu, LT (reprint author), Sichuan Univ, West China Hosp, West China Med Sch, Ctr Canc, 17 3rd Sect,Ren Min South Rd, Chengdu 610041, Peoples R China.	Zhejiang Apeloa Medical Technology Co., Ltd.	0	0753-3322	2016	WOS:000377347300037
Tan, Qi-Jian	JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS	Elliptic systems; Cross-diffusion; Discontinuous coefficients; Reaction-diffusion equations; Lotka-Volterra models; Fixed point theorem	[Tan, Qi-Jian] Chengdu Normal Univ, Dept Math, Chengdu 611130, Peoples R China	Tan, QJ (reprint author), Chengdu Normal Univ, Dept Math, Chengdu 611130, Peoples R China.	Department of Education of Sichuan Province [15ZB0343]; Chengdu Normal University [CS14ZD01]	1	0022-247X	2016	WOS:000370312500006
Chen, Haitao; Huang, Weigang; Gao, Zenghui; Wang, Wanqing	OPTICS AND LASER TECHNOLOGY	Lissajous singularity; Polychromatic vector optical fields; The handedness of singularities	[Chen, Haitao; Huang, Weigang] Sichuan Univ, Colledge Mat Sci & Engn, Chengdu 610064, Peoples R China; [Chen, Haitao] Chengdu Normal Univ, Colledge Phys & Engn, Chengdu 611130, Peoples R China; [Chen, Haitao; Gao, Zenghui] Yibin Univ, Key Lab Computat Phys, Yibin 644000, Peoples R China; [Wang, Wanqing] Chongqing Univ Sci & Technol, Foreign Language Dept, Chongqing 401331, Peoples R China	Chen, HT (reprint author), Yibin Univ, Key Lab Computat Phys, Yibin 644000, Peoples R China.	National Natural Science Foundation of China [61275203]; Scientific Fund of Sichuan Provincial Education Department [13ZA0203]; Natural Science Foundation of Sichuan Province [2013j170100]	3	0030-3992	2016	WOS:000370457200002
Wei, Juan; Zhang, Hong; Wu, Zhenya; He, Junlin; Guo, Yangyong	INTERNATIONAL JOURNAL OF MODERN PHYSICS B	Crowd; cellular automaton; linear fractional stable motion; queuing time	[Wei, Juan; He, Junlin; Guo, Yangyong] Chengdu Normal Univ, Coll Comp Sci, Chengdu 611130, Peoples R China; [Wei, Juan; He, Junlin; Guo, Yangyong] Chengdu Normal Univ, Inst Intelligent Comp & Informat Technol, Chengdu 611130, Peoples R China; [Zhang, Hong] Chengdu Univ, Coll Informat Sci & Technol, Chengdu 610106, Peoples R China; [Wu, Zhenya] Second Res Inst CAAC, Chengdu 610041, Peoples R China	Guo, YY (reprint author), Chengdu Normal Univ, Coll Comp Sci, Chengdu 611130, Peoples R China.; Guo, YY (reprint author), Chengdu Normal Univ, Inst Intelligent Comp & Informat Technol, Chengdu 611130, Peoples R China.		0	0217-9792	2016	WOS:000374248200006
Xiong, Mingrui; Shi, Jiannong; Wu, Zhen; Zhang, Zhen	FRONTIERS IN PSYCHOLOGY	prosociality; strategic behavior; preschooler; direct reciprocity; self-interest	[Xiong, Mingrui; Shi, Jiannong; Zhang, Zhen] Chinese Acad Sci, Inst Psychol, Key Lab Behav Sci, Beijing 100101, Peoples R China; [Xiong, Mingrui] Univ Chinese Acad Sci, Beijing, Peoples R China; [Shi, Jiannong] Aalborg Univ, Dept Learning & Philosophy, Aalborg, Denmark; [Shi, Jiannong] Chengdu Normal Univ, Chengdu, Peoples R China; [Wu, Zhen] Tsinghua Univ, Dept Psychol, Beijing 100084, Peoples R China	Zhang, Z (reprint author), Chinese Acad Sci, Inst Psychol, Key Lab Behav Sci, Beijing 100101, Peoples R China.	National Natural Science Foundation of China [31000469]; National Key Technologies R D Program [2012BAI36B02]; Chinese Academy of Sciences [KSCX2-EW-J-8]	1	1664-1078	2016	WOS:000373267700001
Ma, Xixiao; Lan, Yu; Qin, Ling; Feng, Shiping	MODERN PHYSICS LETTERS B	Charge dynamics; pseudogap; Mott insulators; honeycomb lattice	[Ma, Xixiao; Feng, Shiping] Beijing Normal Univ, Dept Phys, Beijing 100875, Peoples R China; [Lan, Yu] Hengyang Normal Univ, Coll Phys & Elect Engn, Hengyang 421002, Peoples R China; [Qin, Ling] Chengdu Normal Univ, Coll Phys & Engn, Chengdu 611130, Peoples R China	Feng, SP (reprint author), Beijing Normal Univ, Dept Phys, Beijing 100875, Peoples R China.	Ministry of Science and Technology of China [2012CB821403]; National Natural Science Foundation of China [11274044, 11574032]; Science Foundation of Hengyang Normal University [13B44]; Hunan Provincial Natural Science Foundation of China [2015JJ3027]	0	0217-9849	2016	WOS:000373991200012
Song, Xuejiao; Gao, Tiantao; Wang, Ningyu; Feng, Qiang; You, Xinyu; Ye, Tinghong; Lei, Qian; Zhu, Yongxia; Xiong, Menghua; Xia, Yong; Yang, Fangfang; Shi, Yaojie; Wei, Yuquan; Zhang, Lidan; Yu, Luoting	SCIENTIFIC REPORTS		[Song, Xuejiao; Gao, Tiantao; Wang, Ningyu; Feng, Qiang; Ye, Tinghong; Lei, Qian; Zhu, Yongxia; Xiong, Menghua; Xia, Yong; Yang, Fangfang; Shi, Yaojie; Wei, Yuquan; Zhang, Lidan; Yu, Luoting] Sichuan Univ, West China Med Sch, West China Hosp, State Key Lab Biotherapy, Chengdu 610041, Peoples R China; [Song, Xuejiao; Gao, Tiantao; Wang, Ningyu; Feng, Qiang; Ye, Tinghong; Lei, Qian; Zhu, Yongxia; Xiong, Menghua; Xia, Yong; Yang, Fangfang; Shi, Yaojie; Wei, Yuquan; Zhang, Lidan; Yu, Luoting] Sichuan Univ, West China Med Sch, West China Hosp, Ctr Canc, Chengdu 610041, Peoples R China; [You, Xinyu] Sichuan Univ, Coll Chem Engn, Chengdu 610065, Sichuan, Peoples R China; [Feng, Qiang] Chengdu Normal Univ, Coll Chem & Life Sci, Chengdu 611130, Peoples R China	Zhang, LD; Yu, LT (reprint author), Sichuan Univ, West China Med Sch, West China Hosp, State Key Lab Biotherapy, Chengdu 610041, Peoples R China.; Zhang, LD; Yu, LT (reprint author), Sichuan Univ, West China Med Sch, West China Hosp, Ctr Canc, Chengdu 610041, Peoples R China.	Zhejiang Apeloa Medical Technology Co., Ltd.	6	2045-2322	2016	WOS:000369936100001
Xu, Bei; Xia, Shan; Wang, Fazhan; Jin, Quansheng; Yui, Ting; He, Lili; Chen, Yan; Liu, Yongmei; Li, Shuangzhi; Tan, Xiaoyue; Ren, Ke; Yao, Shaohua; Zeng, Jun; Song, Xiangrong	MOLECULAR PHARMACEUTICS	pigment epithelium-derived factor; paclitaxel; combination therapy; codelivery; PLGA nanoparticles	[Xu, Bei; Xia, Shan; Wang, Fazhan; Jin, Quansheng; Yui, Ting; Chen, Yan; Liu, Yongmei; Li, Shuangzhi; Ren, Ke; Yao, Shaohua; Zeng, Jun; Song, Xiangrong] Sichuan Univ, State Key Lab Biotherapy, Chengdu 610041, Sichuan, Peoples R China; [Xu, Bei; Xia, Shan; Wang, Fazhan; Jin, Quansheng; Yui, Ting; Chen, Yan; Liu, Yongmei; Li, Shuangzhi; Ren, Ke; Yao, Shaohua; Zeng, Jun; Song, Xiangrong] Sichuan Univ, Ctr Canc, West China Hosp, Chengdu 610041, Sichuan, Peoples R China; [Xu, Bei; Xia, Shan; Wang, Fazhan; Jin, Quansheng; Yui, Ting; Chen, Yan; Liu, Yongmei; Li, Shuangzhi; Ren, Ke; Yao, Shaohua; Zeng, Jun; Song, Xiangrong] Collaborat Innovat Ctr Biotherapy, Chengdu 610041, Sichuan, Peoples R China; [Xia, Shan] Chengdu Normal Univ, Sci Educ Dept, Cent Lab, Chengdu 610041, Sichuan, Peoples R China; [He, Lili] Southwest Univ Nationalities, Coll Chem & Environm Protect Engn, Chengdu 610041, Sichuan, Peoples R China; [Tan, Xiaoyue] Nankai Univ, Sch Med, Dept Pathol, Collaborat Innovat Ctr Biotherapy, Tianjin 300071, Peoples R China	Zeng, J; Song, XR (reprint author), Sichuan Univ, State Key Lab Biotherapy, Chengdu 610041, Sichuan, Peoples R China.; Zeng, J; Song, XR (reprint author), Sichuan Univ, Ctr Canc, West China Hosp, Chengdu 610041, Sichuan, Peoples R China.; Zeng, J; Song, XR (reprint author), Collaborat Innovat Ctr Biotherapy, Chengdu 610041, Sichuan, Peoples R China.	National Natural Science Foundation of China [81302729, 30901868]; National High Technology Research and Development Program of China [2012AA020803]; Fundamental Research Funds for the Central Universities [2013SCU04A19]	3	1543-8384	2016	WOS:000369356900033
Rao, Ruofeng; Zhong, Shouming	JOURNAL OF FUNCTION SPACES		[Rao, Ruofeng] Chengdu Normal Univ, Dept Math, Chengdu 61130, Peoples R China; [Zhong, Shouming] Chengdu Normal Univ, Res Inst Math, Chengdu 61130, Peoples R China	Rao, RF (reprint author), Chengdu Normal Univ, Dept Math, Chengdu 61130, Peoples R China.	National Basic Research Program of China [2010CB732501]; Scientific Research Fund of Science Technology Department of Sichuan Province [2012JY010]; Sichuan Educational Committee Science Foundation [08ZB002, 12ZB349, 14ZA0274]; Initial Founding of Scientific Research for Chengdu Normal University Introduction of Talents	0	2314-8896	2016	WOS:000392101300001
Rao, Ruofeng; Pu, Zhilin; Zhong, Shouming; Li, Xinggui	MATHEMATICAL PROBLEMS IN ENGINEERING		[Rao, Ruofeng; Pu, Zhilin; Zhong, Shouming; Li, Xinggui] Chengdu Normal Univ, Dept Math, Chengdu 611130, Sichuan, Peoples R China; [Pu, Zhilin] Chengdu Normal Univ, Inst Math, Chengdu 611130, Sichuan, Peoples R China; [Zhong, Shouming; Li, Xinggui] Chengdu Normal Univ, Inst Math Educ, Chengdu 611130, Sichuan, Peoples R China	Rao, RF (reprint author), Chengdu Normal Univ, Dept Math, Chengdu 611130, Sichuan, Peoples R China.	Scientific Research Fund of Science Technology Department of Sichuan Province [2010JY0057, 2012JYZ010]; Scientific Research Fund of Sichuan Provincial Education Department [12ZB349]	0	1024-123X	2016	WOS:000386807700001
Wang, Qihui; Deng, Guowei; Yang, Min; Li, Xinran; Li, Bingke; Li, Xianghui	INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY	Activated carbon; noble metal ions; 3; 4-dihydroxycinnamic acid; solid-phase extraction; inductively coupled plasma optical emission spectrometry	[Wang, Qihui; Deng, Guowei; Yang, Min; Li, Xinran; Li, Bingke; Li, Xianghui] Chengdu Normal Univ, Coll Chem & Life Sci, Chengdu, Peoples R China	Wang, QH (reprint author), Chengdu Normal Univ, Coll Chem & Life Sci, Chengdu, Peoples R China.	Key Fund Project of Education Department of Sichuan [15ZA0336]; Chengdu Normal University Research Fund [YJRC2015-10]	0	0306-7319	2016	WOS:000382259000007
Guo, Haixia; Xu, Bo; Wu, Yan; Shi, Fusun; Wu, Cong; Wu, Ning	POLISH JOURNAL OF ECOLOGY	Alpine plant; optimal partitioning; allometric trajectory; C-N balance; bulb	[Guo, Haixia] Chengdu Normal Univ, Chengdu 611130, Peoples R China; [Guo, Haixia; Xu, Bo; Wu, Yan; Shi, Fusun; Wu, Cong; Wu, Ning] Chinese Acad Sci, Chengdu Inst Biol, Ecol Restorat & Biodivers Conservat Key Lab Sichu, POB 416, Chengdu 610041, Peoples R China; [Wu, Ning] Int Ctr Integrated Mt Dev ICIMOD, GPO Box 3226, Kathmandu, Nepal	Wu, Y (reprint author), Chinese Acad Sci, Chengdu Inst Biol, Ecol Restorat & Biodivers Conservat Key Lab Sichu, POB 416, Chengdu 610041, Peoples R China.	international science & technology cooperation program of china [2013DFR90670]; strategic priority research program of the chinese academy of sciences-Climate Change: Carbon Budget and Relevant Issues [XDA05050407]; Sichuan education department Program [16ZA0366]	0	1505-2249	2016	WOS:000379194600004
